PARID,SALEDATE,PRICE,RECORDDATE,INSTRUNO,INSTRUTYPE,LANDCOURT_NO,CERT_NO,BOOK,PAGE,CONV_TAX,DOC_TYPE,VALCODE,VALCODE,SALETYP
210080820015     ,2000/05/28,          ,2000/06/22,0000000000          ,Fee conveyance                          ,2633371                                 ,557,117                                 ,        ,        ,0.00                                    ,                                        ,                                        ,  ,
210080820015     ,1998/02/24,          ,1998/02/25,0000000000          ,                                        ,130523                                  ,457706                                  ,        ,        ,                                        ,                                        ,                                        ,  ,
210080820015     ,1996/03/20,          ,1996/04/22,0000000000          ,Fee conveyance                          ,2303392                                 ,457706                                  ,        ,        ,0.00                                    ,                                        ,                                        ,  ,
210080820015     ,1992/11/27,    346000,1991/12/06,0000000000          ,Fee conveyance                          ,187O472                                 ,381126                                  ,        ,        ,173.00                                  ,                                        ,                                        ,  ,
210080820015     ,1992/07/02,          ,1992/07/07,0000000000          ,Fee conveyance                          ,1928499                                 ,381126                                  ,        ,        ,143.50                                  ,                                        ,                                        ,  ,
210080820015     ,1992/06/01,    287000,          ,                    ,Fee conveyance                          ,                                        ,                                        ,        ,        ,                                        ,                                        ,Valid                                   ,X ,Improved
210080820015     ,1991/11/01,    346000,          ,                    ,Fee conveyance                          ,                                        ,                                        ,        ,        ,                                        ,                                        ,Valid                                   ,X ,Improved
210080820015     ,1990/10/29,          ,          ,0000000000          ,                                        ,                                        ,                                        ,        ,        ,                                        ,                                        ,                                        ,  ,
210080820016     ,2024/09/19,          ,2024/10/25,                    ,Recorded document                       ,T12716184                               ,12716184                                ,        ,        ,                                        ,Amendment of CPR, HPR or Declaration    ,                                        ,  ,
210080820016     ,2013/04/11,         1,2013/05/14,                    ,Fee conveyance                          ,T8534014                                ,1060322                                 ,        ,        ,1                                       ,Quitclaim deed                          ,                                        ,  ,
210080820016     ,2007/11/01,    870000,2007/11/15,                    ,Fee conveyance                          ,3681051                                 ,885414                                  ,        ,        ,2175                                    ,Apartment deed                          ,Valid Sale                              ,0 ,Improved
210080820016     ,1997/12/01,    270000,1997/12/10,0000000000          ,Fee conveyance                          ,2425044                                 ,502009                                  ,        ,        ,270.00                                  ,                                        ,Valid                                   ,X ,Improved
210080820016     ,1993/07/01,   2320013,1993/09/27,0000000000          ,Fee conveyance                          ,2069747                                 ,422371*                                 ,        ,        ,2320.00                                 ,                                        ,                                        ,  ,
210080820016     ,1991/04/11,    425250,1991/05/02,0000000000          ,Fee conveyance                          ,1817283                                 ,368826                                  ,        ,        ,212.60                                  ,                                        ,Valid                                   ,X ,Improved
210080820016     ,1990/10/29,          ,          ,0000000000          ,                                        ,                                        ,                                        ,        ,        ,                                        ,                                        ,                                        ,  ,
210080820017     ,2024/09/19,          ,2024/10/25,                    ,Recorded document                       ,T12716184                               ,12716184                                ,        ,        ,                                        ,Amendment of CPR, HPR or Declaration    ,                                        ,  ,
210080820017     ,2021/12/17,   1230000,2021/12/30,                    ,Fee conveyance                          ,T11686044                               ,1229317                                 ,        ,        ,4920                                    ,Apartment deed                          ,Valid Sale                              ,0 ,Improved
