PARID,SALEDATE,PRICE,RECORDDATE,INSTRUNO,INSTRUTYPE,LANDCOURT_NO,CERT_NO,BOOK,PAGE,CONV_TAX,DOC_TYPE,VALCODE,VALCODE,SALETYP
390041440016     ,1991/11/25,    303000,1991/11/27,9100162468          ,Fee conveyance                          ,                                        ,                                        ,        ,        ,151.50                                  ,                                        ,Valid Sale                              ,0 ,Improved
390041440016     ,1989/10/11,    168000,1989/10/20,8900161389          ,Fee conveyance                          ,                                        ,                                        ,23786   ,605     ,84.00                                   ,                                        ,Valid Sale                              ,0 ,Improved
390041440016     ,1989/06/05,          ,1989/06/07,8900083507          ,                                        ,                                        ,                                        ,23272   ,29      ,                                        ,                                        ,                                        ,  ,
390041440017     ,2010/09/15,          ,2010/09/15,                    ,Route slip                              ,                                        ,                                        ,        ,        ,                                        ,Route Slip                              ,                                        ,  ,
390041440017     ,1999/04/27,    248000,1999/05/07,9900071794          ,Fee conveyance                          ,                                        ,                                        ,        ,        ,248.00                                  ,                                        ,Valid                                   ,X ,Improved
390041440017     ,1998/02/28,          ,1998/03/09,9800030495          ,Fee conveyance                          ,                                        ,                                        ,        ,        ,0.00                                    ,                                        ,                                        ,  ,
390041440017     ,1998/02/18,          ,1998/02/27,9800025497          ,Fee conveyance                          ,                                        ,                                        ,        ,        ,0.00                                    ,                                        ,                                        ,  ,
390041440017     ,1995/10/24,          ,1995/11/07,9500144633          ,Fee conveyance                          ,                                        ,                                        ,        ,        ,0.00                                    ,                                        ,                                        ,  ,
390041440017     ,1989/12/24,    249000,1990/01/02,9000000259          ,Fee conveyance                          ,                                        ,                                        ,        ,        ,124.50                                  ,                                        ,Valid                                   ,X ,Improved
390041440017     ,1989/10/26,    183000,1989/10/26,8900164217          ,Fee conveyance                          ,                                        ,                                        ,23805   ,377     ,91.50                                   ,                                        ,                                        ,  ,
390041440017     ,1989/06/05,          ,1989/06/07,8900083507          ,                                        ,                                        ,                                        ,23272   ,29      ,                                        ,                                        ,                                        ,  ,
390041440018     ,2010/09/15,          ,2010/09/15,                    ,Route slip                              ,                                        ,                                        ,        ,        ,                                        ,Route Slip                              ,                                        ,  ,
390041440018     ,2002/10/31,    365000,2002/11/06,02-199619           ,Fee conveyance                          ,                                        ,                                        ,        ,        ,365.00                                  ,Warranty deed                           ,Valid Sale                              ,0 ,Improved
