PARID,SALEDATE,PRICE,RECORDDATE,INSTRUNO,INSTRUTYPE,LANDCOURT_NO,CERT_NO,BOOK,PAGE,CONV_TAX,DOC_TYPE,VALCODE,VALCODE,SALETYP
210080830008     ,1900/01/01,          ,          ,0000000000          ,                                        ,1815194                                 ,315856                                  ,        ,        ,                                        ,                                        ,                                        ,  ,
210080830009     ,2025/03/31,          ,2025/03/31,                    ,Route slip                              ,                                        ,                                        ,        ,        ,                                        ,Death                                   ,                                        ,  ,
210080830009     ,2024/11/07,          ,2024/11/25,                    ,Fee conveyance                          ,T12747122                               ,                                        ,        ,        ,                                        ,T O D                                   ,                                        ,  ,
210080830009     ,2020/06/08,          ,2020/08/14,                    ,Recorded document                       ,T11183321                               ,                                        ,        ,        ,                                        ,Amendment of CPR, HPR or Declaration    ,                                        ,  ,
210080830009     ,2019/12/10,          ,2020/01/10,T10966225           ,Recorded document                       ,                                        ,                                        ,        ,        ,                                        ,Declaration of/Restatement of CPR       ,                                        ,  ,
210080830009     ,2017/12/04,          ,2017/12/22,                    ,Recorded document                       ,T10217497                               ,                                        ,        ,        ,0                                       ,Amendment of CPR, HPR or Declaration    ,                                        ,  ,
210080830009     ,2017/04/18,          ,2017/05/04,                    ,Recorded document                       ,T9985173                                ,                                        ,        ,        ,0                                       ,Amendment of CPR, HPR or Declaration    ,                                        ,  ,
210080830009     ,2015/12/21,    687500,2015/12/29,                    ,Fee conveyance                          ,T9493123                                ,1109261                                 ,        ,        ,1375                                    ,Apartment deed                          ,Valid Sale                              ,0 ,Improved
210080830009     ,2013/08/20,    599000,2013/08/28,                    ,Fee conveyance                          ,T8640044                                ,1065877                                 ,        ,        ,599                                     ,Apartment deed                          ,Valid Sale                              ,0 ,Improved
210080830009     ,2013/04/12,          ,2013/04/17,                    ,Land Court Order (all types)            ,T8507235                                ,491757                                  ,        ,        ,                                        ,Land Court Order (all types)            ,Valid Sale                              ,0 ,
210080830009     ,2010/08/18,          ,2010/08/18,                    ,Route slip                              ,                                        ,                                        ,        ,        ,                                        ,Amendment of CPR, HPR or Declaration    ,Valid Sale                              ,0 ,
210080830009     ,1997/04/16,    186850,1997/05/15,0000000000          ,Fee conveyance                          ,2381087                                 ,491757                                  ,        ,        ,186.90                                  ,                                        ,Valid Sale                              ,0 ,Improved
210080830009     ,1900/01/01,          ,          ,0000000000          ,                                        ,1815194                                 ,315856                                  ,        ,        ,                                        ,                                        ,Valid Sale                              ,0 ,
210080830010     ,2020/06/08,          ,2020/08/14,                    ,Recorded document                       ,T11183321                               ,                                        ,        ,        ,                                        ,Amendment of CPR, HPR or Declaration    ,                                        ,  ,
210080830010     ,2019/12/10,          ,2020/01/10,T10966225           ,Recorded document                       ,                                        ,                                        ,        ,        ,                                        ,Declaration of/Restatement of CPR       ,                                        ,  ,
210080830010     ,2018/03/27,          ,2018/04/09,                    ,Fee conveyance                          ,T10325169                               ,1154457                                 ,        ,        ,0                                       ,Apartment deed                          ,                                        ,  ,
210080830010     ,2017/12/04,          ,2017/12/22,                    ,Recorded document                       ,T10217497                               ,                                        ,        ,        ,0                                       ,Amendment of CPR, HPR or Declaration    ,                                        ,  ,
210080830010     ,2017/04/18,          ,2017/05/04,                    ,Recorded document                       ,T9985173                                ,                                        ,        ,        ,0                                       ,Amendment of CPR, HPR or Declaration    ,                                        ,  ,
210080830010     ,2010/08/18,          ,2010/08/18,                    ,Route slip                              ,                                        ,                                        ,        ,        ,                                        ,Amendment of CPR, HPR or Declaration    ,                                        ,  ,
210080830010     ,1995/02/07,    273000,1995/02/22,0000000000          ,Fee conveyance                          ,2219962                                 ,452943                                  ,        ,        ,273.00                                  ,                                        ,Other                                   ,7 ,Improved
210080830010     ,1900/01/01,          ,          ,0000000000          ,                                        ,1815194                                 ,315856                                  ,        ,        ,                                        ,                                        ,                                        ,  ,
210080830011     ,2020/06/08,          ,2020/08/14,                    ,Recorded document                       ,T11183321                               ,                                        ,        ,        ,                                        ,Amendment of CPR, HPR or Declaration    ,                                        ,  ,
210080830011     ,2020/01/23,          ,2020/01/31,                    ,Fee conveyance                          ,T10987310                               ,1189137                                 ,        ,        ,                                        ,Warranty deed                           ,                                        ,  ,
210080830011     ,2019/12/10,          ,2020/01/10,T10966225           ,Recorded document                       ,                                        ,                                        ,        ,        ,                                        ,Declaration of/Restatement of CPR       ,                                        ,  ,
210080830011     ,2017/12/04,          ,2017/12/22,                    ,Recorded document                       ,T10217497                               ,                                        ,        ,        ,0                                       ,Amendment of CPR, HPR or Declaration    ,                                        ,  ,
210080830011     ,2017/10/05,    715000,2017/10/12,                    ,Fee conveyance                          ,T10146083                               ,1145092                                 ,        ,        ,1430                                    ,Warranty deed                           ,Valid Sale                              ,0 ,Improved
210080830011     ,2017/04/18,          ,2017/05/04,                    ,Recorded document                       ,T9985173                                ,                                        ,        ,        ,0                                       ,Amendment of CPR, HPR or Declaration    ,                                        ,  ,
210080830011     ,2011/12/07,    600000,2011/12/13,                    ,Fee conveyance                          ,4118019                                 ,1035865                                 ,        ,        ,1500                                    ,Apartment deed                          ,Valid Sale                              ,0 ,Improved
