year,scope,tmk,as_of_date,total_units,hi_pct,non_hi_pct,unknown_pct,non_hi_pct_of_resolved,unresolved_units,unresolved_pct,proxy_resolved_units,proxy_resolved_pct,hi_units,non_hi_units,mixed_units,unknown_units,resolved_units,transfer_count,first_transfer_count,newly_resolved_units,tmk_unit_pct,source,notes
2021,tmk,221008083,2021/12/31,120,33.1944,66.5278,0.2778,66.7131,0,0.0000,120,100.0000,39,79,2,0,120,17,0,0,100.0000,fullownr_proxy,TMK 221008083 share of active collective portfolio at year-end
2022,collective,,2022/12/31,120,33.1944,66.5278,0.2778,66.7131,0,0.0000,120,100.0000,39,79,2,0,120,11,0,0,100.0000,fullownr_proxy,year-end snapshot; residency from 2026 fullownr proxy applied after first transfer; historical owner addresses not in sales extract; active TMKs: 221008083
2022,tmk,221008083,2022/12/31,120,33.1944,66.5278,0.2778,66.7131,0,0.0000,120,100.0000,39,79,2,0,120,11,0,0,100.0000,fullownr_proxy,TMK 221008083 share of active collective portfolio at year-end
2023,collective,,2023/12/31,120,33.1944,66.5278,0.2778,66.7131,0,0.0000,120,100.0000,39,79,2,0,120,7,0,0,100.0000,fullownr_proxy,year-end snapshot; residency from 2026 fullownr proxy applied after first transfer; historical owner addresses not in sales extract; active TMKs: 221008083
2023,tmk,221008083,2023/12/31,120,33.1944,66.5278,0.2778,66.7131,0,0.0000,120,100.0000,39,79,2,0,120,7,0,0,100.0000,fullownr_proxy,TMK 221008083 share of active collective portfolio at year-end
2024,collective,,2024/12/31,120,33.1944,66.5278,0.2778,66.7131,0,0.0000,120,100.0000,39,79,2,0,120,9,0,0,100.0000,fullownr_proxy,year-end snapshot; residency from 2026 fullownr proxy applied after first transfer; historical owner addresses not in sales extract; active TMKs: 221008083
2024,tmk,221008083,2024/12/31,120,33.1944,66.5278,0.2778,66.7131,0,0.0000,120,100.0000,39,79,2,0,120,9,0,0,100.0000,fullownr_proxy,TMK 221008083 share of active collective portfolio at year-end
2025,collective,,2025/12/31,120,33.1944,66.5278,0.2778,66.7131,0,0.0000,120,100.0000,39,79,2,0,120,6,0,0,100.0000,fullownr_proxy,year-end snapshot; residency from 2026 fullownr proxy applied after first transfer; historical owner addresses not in sales extract; active TMKs: 221008083
2025,tmk,221008083,2025/12/31,120,33.1944,66.5278,0.2778,66.7131,0,0.0000,120,100.0000,39,79,2,0,120,6,0,0,100.0000,fullownr_proxy,TMK 221008083 share of active collective portfolio at year-end
2026,collective,,2026/12/31,120,33.1944,66.5278,0.2778,66.7131,0,0.0000,120,100.0000,39,79,2,0,120,4,0,0,100.0000,fullownr_snapshot,year-end snapshot; residency from 2026 fullownr proxy applied after first transfer; historical owner addresses not in sales extract; active TMKs: 221008083
2026,tmk,221008083,2026/12/31,120,33.1944,66.5278,0.2778,66.7131,0,0.0000,120,100.0000,39,79,2,0,120,4,0,0,100.0000,fullownr_snapshot,TMK 221008083 share of active collective portfolio at year-end
